Animal_Name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
Aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal
Antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
Bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,Mammal
Boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
Buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
Calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
Cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,Mammal
Cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mammal
Deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
Dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal
Elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
Fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mammal
Giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mammal
Human,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,Mammal
Goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mammal
Gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,Mammal
Hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Mammal
Weka,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,0,Bird
Owl,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Bird
Chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird
Crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird
Dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Bird
Duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,Bird
Flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,Bird
Gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Bird
Hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Bird
Komodo Dragon,0,0,1,0,0,0,1,1,1,1,1,0,4,1,0,1,Reptile
Lizard,0,0,1,0,0,1,0,0,1,1,0,0,4,1,1,1,Reptile
Alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,Reptile
Black Mamba,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,Reptile
Gecko,0,0,1,0,0,0,0,1,1,1,0,0,4,1,0,0,Reptile
Shark,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
Stone Fish,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,Fish
Haddock,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,Fish
Goldfish,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish
Bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
Carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish
Catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
Caecilian,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Amphibian
Frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amphibian
Mantis,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
Leaf Hopper,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
beetle,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bug
Flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bug
Clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Invertebrate
Crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,Invertebrate
Crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate
Lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrate
